# number,node1,node2,length,width
0,0,4,70,2
1,0,35,58,2
2,0,94,52,2
3,1,2,54,2
4,1,3,108,2
5,1,6,288,2
6,1,44,215,2
7,2,28,44,2
8,2,36,72,2
9,2,39,60,2
10,3,4,54,2
11,3,29,108,2
12,4,39,47,2
13,5,9,43,2
14,5,53,78,2
15,5,67,73,2
16,6,33,214,2
17,7,31,96,2
18,7,35,123,2
19,7,36,47,2
20,8,9,51,2
21,8,19,213,2
22,8,27,266,2
23,8,44,212,2
24,9,34,43,2
25,9,79,115,2
26,10,12,250,2
27,10,26,128,2
28,10,45,107,2
29,10,109,10,2
30,11,55,40,2
31,11,128,97,2
32,11,131,71,2
33,11,177,35,2
34,12,16,91,2
35,12,50,75,2
36,12,77,39,2
37,13,17,75,2
38,13,19,53,2
39,13,55,38,2
40,13,67,96,2
41,14,17,40,2
42,14,22,78,2
43,14,50,53,2
44,14,60,35,2
45,15,22,39,2
46,15,73,38,2
47,15,80,49,2
48,15,132,20,2
49,16,23,49,2
50,16,64,70,2
51,17,73,38,2
52,18,58,19,2
53,18,68,27,2
54,18,84,56,2
55,19,50,116,2
56,19,89,212,2
57,20,56,87,2
58,20,57,69,2
59,20,79,42,2
60,21,66,64,2
61,21,70,9,2
62,21,74,29,2
63,22,65,35,2
64,23,60,38,2
65,23,71,26,2
66,24,53,37,2
67,24,79,44,2
68,24,216,68,2
69,25,62,103,2
70,25,157,87,2
71,25,205,7,2
72,51,78,36,2
73,26,27,212,2
74,26,90,20,2
75,27,33,212,2
76,28,38,44,2
77,28,100,78,2
78,29,37,170,2
79,30,32,43,2
80,30,34,127,2
81,30,97,38,2
82,31,43,132,2
83,31,88,56,2
84,32,41,44,2
85,32,44,53,2
86,32,99,99,2
87,33,44,276,2
88,34,91,39,2
89,35,40,29,2
90,36,94,55,2
91,36,100,47,2
92,37,40,65,2
93,38,42,43,2
94,38,88,84,2
95,39,94,65,2
96,41,42,44,2
97,41,92,94,2
98,42,85,89,2
99,43,56,128,2
100,43,99,41,2
101,45,47,84,2
102,45,102,100,2
103,46,47,104,2
104,46,49,86,2
105,46,105,67,2
106,47,95,80,2
107,48,49,101,2
108,48,111,73,2
109,49,104,108,2
110,51,62,100,2
111,51,143,7,2
112,51,192,37,2
113,52,59,76,2
114,52,81,19,2
115,52,112,7,2
116,53,128,72,2
117,54,63,22,2
118,54,75,24,2
119,55,131,36,2
120,55,168,97,2
121,56,197,122,2
122,57,81,67,2
123,57,176,85,2
124,58,82,87,2
125,58,173,74,2
126,59,70,29,2
127,59,177,92,2
128,61,63,172,2
129,61,68,60,2
130,61,74,49,2
131,62,167,41,2
132,62,170,39,2
133,63,76,53,2
134,63,163,99,2
135,63,220,75,2
136,64,72,17,2
137,64,149,64,2
138,65,71,14,2
139,66,80,47,2
140,66,132,77,2
141,67,168,39,2
142,69,77,15,2
143,69,83,140,2
144,69,161,79,2
145,70,135,154,2
146,72,84,20,2
147,73,131,39,2
148,75,82,20,2
149,76,78,46,2
150,76,139,85,2
151,78,139,71,2
152,78,185,8,2
153,79,183,43,2
154,81,216,76,2
155,82,133,134,2
156,83,221,85,2
157,83,228,153,2
158,85,88,43,2
159,85,92,44,2
160,86,93,42,2
161,86,97,44,2
162,86,208,73,2
163,87,105,209,2
164,88,100,45,2
165,89,90,20,2
166,91,93,42,2
167,91,183,78,2
168,92,99,44,2
169,93,114,77,2
170,96,97,67,2
171,96,99,42,2
172,96,208,45,2
173,98,105,93,2
174,101,104,137,2
175,103,107,145,2
176,104,107,17,2
177,105,111,188,2
178,106,109,135,2
179,106,228,110,2
180,108,109,98,2
181,112,137,72,2
182,112,176,44,2
183,113,174,25,2
184,113,190,96,2
185,113,192,31,2
186,114,183,42,2
187,114,208,42,2
188,115,130,74,2
189,115,136,22,2
190,115,172,20,2
191,116,220,36,2
192,117,191,48,2
193,117,193,56,2
194,118,122,86,2
195,118,174,34,2
196,118,198,41,2
197,119,146,24,2
198,119,212,30,2
199,120,121,108,2
200,121,159,45,2
201,121,217,87,2
202,122,155,28,2
203,122,193,30,2
204,122,240,74,2
205,123,150,73,2
206,123,172,92,2
207,123,239,17,2
208,124,171,59,2
209,124,196,14,2
210,125,143,42,2
211,125,170,102,2
212,125,201,82,2
213,126,210,76,2
214,127,133,19,2
215,127,189,30,2
216,128,168,39,2
217,129,146,34,2
218,129,176,43,2
219,130,158,73,2
220,130,215,37,2
221,134,161,264,2
222,134,229,210,2
223,135,154,111,2
224,135,163,8,2
225,136,213,33,2
226,137,176,61,2
227,137,187,22,2
228,138,163,84,2
229,138,185,45,2
230,138,211,84,2
231,139,159,28,2
232,140,202,50,2
233,140,206,43,2
234,141,186,21,2
235,141,218,38,2
236,142,184,57,2
237,142,195,24,2
238,144,154,77,2
239,144,169,27,2
240,145,196,37,2
241,145,215,50,2
242,145,233,47,2
243,147,206,21,2
244,148,153,38,2
245,148,164,90,2
246,150,156,52,2
247,151,182,43,2
248,151,186,16,2
249,151,211,89,2
250,152,157,34,2
251,152,162,24,2
252,154,187,7,2
253,155,174,92,2
254,155,190,26,2
255,155,236,52,2
256,156,160,101,2
257,156,201,123,2
258,157,190,83,2
259,158,205,29,2
260,159,220,40,2
261,160,195,93,2
262,161,221,84,2
263,162,191,42,2
264,164,209,150,2
265,164,210,142,2
266,165,178,30,2
267,165,189,31,2
268,166,180,15,2
269,166,188,56,2
270,166,206,71,2
271,167,190,37,2
272,167,192,102,2
273,169,179,6,2
274,170,213,25,2
275,170,235,24,2
276,171,184,26,2
277,171,204,34,2
278,172,201,94,2
279,173,207,159,2
280,175,188,6,2
281,175,191,41,2
282,176,197,91,2
283,177,216,102,2
284,179,182,89,2
285,179,211,52,2
286,181,199,47,2
287,182,200,29,2
288,189,194,59,2
289,189,207,22,2
290,193,202,61,2
291,194,217,19,2
292,195,204,84,2
293,197,210,175,2
294,198,234,125,2
295,199,224,26,2
296,199,232,22,2
297,200,212,21,2
298,203,231,89,2
299,209,214,99,2
300,209,219,201,2
301,214,218,144,2
302,221,230,212,2
303,222,224,40,2
304,222,226,41,2
305,222,227,276,2
306,222,229,26,2
307,223,225,113,2
308,223,227,28,2
309,224,226,22,2
310,226,231,65,2
311,229,232,38,2
312,231,237,45,2